newsComments,newsDate,newsTitle,newsUrl
24,26 August 2020,Hello Games' The Last Campfire releases tomorrow	,https://www.eurogamer.net/articles/2020-08-26-hello-games-the-last-campfire-releases-tomorrow
12,26 August 2020,Two previously Japan-only Taiko no Tatsujin rhythm RPGs are being bundled up for Switch	,https://www.eurogamer.net/articles/2020-08-26-two-previously-japan-only-taiko-no-tatsujin-rhythm-rpgs-are-being-bundled-up-for-switch
36,26 August 2020,Here's everything announced in today's Nintendo Direct Mini	,https://www.eurogamer.net/articles/2020-08-26-heres-everything-announced-in-todays-nintendo-direct-mini
0,28 September 2020,"FIFA 21 best midfielders - the best CAM, best CDM, and best CMs in FIFA	",https://www.eurogamer.net/articles/fifa-21-best-midfielders-cam-cdm-cm-7121
9,26 September 2020,Young Impa is playable in Hyrule Warriors: Age of Calamity	,https://www.eurogamer.net/articles/2020-09-26-young-impa-is-playable-in-hyrule-warriors-age-of-calamity
96,27 August 2020,Epic Games snuck in one final iPhone Fortnite update	,https://www.eurogamer.net/articles/2020-08-27-epic-games-snuck-in-one-final-iphone-fortnite-update
0,10 September 2020,Fortnite new map additions in Season 4 explained	,https://www.eurogamer.net/articles/fortnite-map-changes-additions-season-4-7013
21,27 August 2020,Hotshot Racing gets a release date	,https://www.eurogamer.net/articles/2020-08-27-hotshot-racing-gets-a-release-date
3,27 August 2020,"Fortnite's Marvel season is live, with Iron Man and Dr. Doom included	",https://www.eurogamer.net/articles/2020-08-27-fortnites-marvel-season-is-live-with-iron-man-and-dr-doom-playable
27,27 August 2020,Netflix's Resident Evil series will star the Wesker kids	,https://www.eurogamer.net/articles/2020-08-27-netflixs-resident-evil-series-will-star-the-wesker-kids
0,3 September 2020,"Fortnite Quinjet Patrol and Stark Robots: Supply Drones, how to find Quinjet Patrol landing sites and raid a Quinjet in Fornite explained	",https://www.eurogamer.net/articles/fortnite-quinjet-patrol-stark-robots-supply-drones-find-patrol-landing-sites-raid-7013
2,27 August 2020,Flesh-flailing co-op platformer Struggling is the first game from Frontier Development's new publishing label	,https://www.eurogamer.net/articles/2020-08-27-flesh-flailing-co-op-platformer-struggling-is-the-first-game-from-frontier-developments-new-publishing-label
19,27 August 2020,Jurassic World Evolution is heading to Switch in November	,https://www.eurogamer.net/articles/2020-08-27-jurassic-world-evolution-is-heading-to-switch-in-november
5,28 August 2020,Little Nightmares 2 crawls onto screens next February	,https://www.eurogamer.net/articles/2020-08-27-little-nightmares-2-crawls-onto-screens-next-february
11,28 September 2020,Quiplash returns next month in Jackbox Party Pack 7	,https://www.eurogamer.net/articles/2020-09-28-quiplash-returns-next-month-in-jackbox-party-pack-7
14,28 August 2020,"Slipped to 2021, Lego Star Wars: The Skywalker Saga has	",https://www.eurogamer.net/articles/2020-08-28-slipped-to-2021-lego-star-wars-the-skywalker-saga-has
15,28 August 2020,The best Micro SD cards for Nintendo Switch 2020	,https://www.eurogamer.net/articles/digitalfoundry-the-best-micro-sd-cards-for-nintendo-switch-7000
5,28 August 2020,A pair of Nintendo Switch Joy-Cons are just £35 right now	,https://www.eurogamer.net/articles/2020-08-28-a-pair-of-nintendo-switch-joy-cons-are-just-gbp35-right-now-at-amazon
0,27 August 2020,"Fortnite Chapter 2 Season 4 Battle Pass skins, including Thor, Groot, Storm, Mystique and tier 100 skin Iron Man	",https://www.eurogamer.net/articles/fortnite-chapter-2-season-4-battle-pass-skins-thor-groot-storm-mystique-tier-100-skin-iron-man-7013
19,28 August 2020,Chasing the dream of four people in a room	,https://www.eurogamer.net/articles/2020-08-28-hello-games-sean-murray-steven-burgess-last-campfire-interview
0,27 August 2020,Fortnite new Victory Umbrella: The latest Victory Umbrella and others from previous Seasons listed	,https://www.eurogamer.net/articles/fortnite-victory-umbrella-season-win-6003
131,28 August 2020,All the highlights from Gamescom's Opening Night Live	,https://www.eurogamer.net/articles/2020-08-27-watch-gamescoms-opening-night-live-here
90,28 August 2020,Turrican returns with a set of pricey 30th anniversary anthologies	,https://www.eurogamer.net/articles/2020-08-28-turrican-returns-with-a-set-of-pricey-30th-anniversary-anthologies
7,28 August 2020,Chinatown Detective Agency is getting a sizeable free prologue	,https://www.eurogamer.net/articles/2020-08-28-chinatown-detective-agency-is-getting-a-sizeable-free-prologue
9,28 August 2020,Lonely Mountains: Downhill ventures to volcanic Eldfjall Island in its first paid DLC	,https://www.eurogamer.net/articles/2020-08-28-lonely-mountains-downhill-ventures-to-volcanic-eldfjall-island-in-its-first-paid-dlc
36,29 August 2020,"Yes, Streets of Rage 4 DLC is coming but there's no release window just yet	",https://www.eurogamer.net/articles/2020-08-29-yes-streets-of-rage-4-dlc-is-coming-but-theres-no-release-window-just-yet
10,1 September 2020,Marvel fans pay their respects at Fortnite's new Black Panther statue	,https://www.eurogamer.net/articles/2020-09-01-marvel-fans-pay-their-respects-at-fortnites-new-black-panther-statue
14,30 August 2020,Kickstarter for Suikoden spiritual successor Eiyuden Chronicle ends with £3.4m raised	,https://www.eurogamer.net/articles/2020-08-30-kickstarter-for-suikoden-spiritual-successor-eiyuden-chronicle-ends-with-gbp3-4m-raised
0,30 September 2020,New Fish and Bugs in September: Everything arriving and leaving this month in Animal Crossing: New Horizons	,https://www.eurogamer.net/articles/new-bugs-fish-september-arriving-leaving-animal-crossing-new-horizons-7018
14,1 September 2020,Nintendo Switch eShop finally lets you cancel pre-orders	,https://www.eurogamer.net/articles/2020-09-01-nintendo-switch-eshop-finally-lets-you-cancel-pre-orders
51,1 September 2020,You can now download official Biden yard signs in Animal Crossing	,https://www.eurogamer.net/articles/2020-09-01-you-can-now-download-official-biden-yard-signs-in-animal-crossing
0,3 September 2020,Fortnite Investigate mysterious claw marks explained	,https://www.eurogamer.net/articles/fortnite-investigate-mysterious-claw-marks-7013
11,2 September 2020,Ubisoft Forward to re-reveal Gods and Monsters next week	,https://www.eurogamer.net/articles/2020-09-01-ubisoft-forward-to-re-reveal-gods-and-monsters-next-week
0,2 September 2020,"Animal Crossing - Acorns and pine cones: How to get acorns and pine cones, including the acorn DIY recipes in New Horizons explained	",https://www.eurogamer.net/articles/animal-crossing-acorns-pine-cones-how-to-get-acorn-diy-recipes-new-horizons-7018
12,2 September 2020,Fortnite's new Tilted Taxis mode is an enjoyable Crazy Taxi clone	,https://www.eurogamer.net/articles/2020-09-02-fortnites-new-tilted-taxis-mode-is-an-enjoyable-crazy-taxi-clone
31,3 September 2020,Gamescom plots physical return to Cologne in 2021	,https://www.eurogamer.net/articles/2020-09-03-gamescom-plots-physical-return-to-cologne-in-2021
24,3 September 2020,"Spiritfarer dev apologises for ableist writing, pledges to fix storyline	",https://www.eurogamer.net/articles/2020-09-03-spiritfarer-apologises-for-ableist-writing-pledges-to-fix-storyline
158,3 September 2020,"Nintendo confirms Mario 64, Sunshine, Galaxy remasters for Nintendo Switch	",https://www.eurogamer.net/articles/2020-09-03-nintendo-confirms-mario-64-sunshine-galaxy-remasters-for-nintendo-switch
31,4 September 2020,Nintendo's about to release an all-new Game & Watch	,https://www.eurogamer.net/articles/2020-09-03-nintendos-about-to-release-an-all-new-game-and-watch
67,7 September 2020,An all-new Mario Kart is coming to Switch next month	,https://www.eurogamer.net/articles/2020-09-03-an-all-new-mario-kart-is-coming-to-switch-next-month
19,3 September 2020,The Last Campfire review - puzzles abound in an elegant story of hope	,https://www.eurogamer.net/articles/2020-09-03-the-last-campfire-review-puzzles-abound-in-an-elegant-story-of-hope
39,29 August 2020,Lord of the Rings: Gollum is coming to current and next-gen consoles	,https://www.eurogamer.net/articles/2020-08-29-lord-of-the-rings-gollum-is-coming-to-current-and-next-gen-consoles
12,3 September 2020,The original Super Mario Bros. is getting the battle royale treatment	,https://www.eurogamer.net/articles/2020-09-03-the-original-super-mario-bros-is-getting-the-battle-royale-treatment
29,16 September 2020,Super Mario 3D World + Bowser's Fury announced	,https://www.eurogamer.net/articles/2020-09-03-super-mario-3d--world-announced
10,2 September 2020,Someone should make a game about: that weird house in St Moritz with an underground lake	,https://www.eurogamer.net/articles/2020-09-02-someone-should-make-a-game-about-that-weird-house-in-st-moritz-with-an-underground-lake
30,5 September 2020,Raji: An Ancient Epic review - a gorgeous adventure through architecture and myth	,https://www.eurogamer.net/articles/2020-09-02-raji-an-ancient-epic-review-a-gorgeous-adventure-through-architecture-and-myth
0,9 September 2020,Fortnite - Find the Loading Screen picture at a Quinjet Patrol Site explained	,https://www.eurogamer.net/articles/fortnite-find-the-loading-screen-picture-site-7013
0,3 September 2020,Fortnite - Ride a Motorboat under different coloured bridges explained	,https://www.eurogamer.net/articles/fortnite-ride-a-motorboat-under-different-coloured-bridges-7013
83,3 September 2020,Everything announced in Nintendo's Super Mario Bros. 35th Anniversary Direct	,https://www.eurogamer.net/articles/2020-09-03-everything-announced-in-nintendos-super-mario-bros-35th-anniversary-direct
6,3 September 2020,Harmonix's music mixing game Fuser gets November release date	,https://www.eurogamer.net/articles/2020-09-03-harmonixs-music-mixing-game-fuser-gets-november-release-date
22,3 September 2020,Gorgeous Blade Runner-esque delivery thriller Cloudpunk comes to consoles in October	,https://www.eurogamer.net/articles/2020-09-03-gorgeous-blade-runner-esque-delivery-thriller-cloudpunk-comes-to-consoles-in-october
3,3 September 2020,Minecraft Live digital event dated for October	,https://www.eurogamer.net/articles/2020-09-03-minecraft-live-digital-event-dated-for-october
16,3 September 2020,Zero Escape and Danganronpa creators' World's End Club out tomorrow on Apple Arcade	,https://www.eurogamer.net/articles/2020-09-03-zero-escape-and-danganronpa-creators-worlds-end-club-out-tomorrow-on-apple-arcade
43,4 September 2020,I miss Bomberman and I really didn't expect that	,https://www.eurogamer.net/articles/2020-09-04-i-miss-bomberman-and-i-really-didnt-expect-that
19,7 September 2020,Big Streets of Rage 4 update hits after 1.5m downloads	,https://www.eurogamer.net/articles/2020-09-07-big-streets-of-rage-4-update-hits-after-1-5m-downloads
36,8 September 2020,Lair of the Clockwork God review - platform meets adventure with hilarious consequences	,https://www.eurogamer.net/articles/2020-09-07-lair-of-the-clockwork-god-review-platform-meets-adventure-with-hilarious-consequences
41,8 September 2020,Inertial Drift review - a unique and exhilarating arcade racer	,https://www.eurogamer.net/articles/2020-09-07-inertial-drift-review-a-marvel-of-a-racer
18,8 September 2020,Rollercoaster Tycoon 3 Complete Edition headed to PC and Switch	,https://www.eurogamer.net/articles/2020-09-08-rollercoaster-tycoon-3-complete-edition-headed-to-pc-and-switch
97,6 September 2020,Scalpers are selling preorders of Super Mario 3D All-Stars for up to £200	,https://www.eurogamer.net/articles/2020-09-06-scalpers-are-selling-preorders-of-super-mario-3d-all-stars-for-up-to-gbp200
30,5 September 2020,Shenmue anime announced	,https://www.eurogamer.net/articles/2020-09-05-shenmue-anime-announced
26,4 September 2020,Latest Nintendo leaks suggest company mulled portable GameCube	,https://www.eurogamer.net/articles/2020-09-04-latest-nintendo-leaks-suggest-company-mulled-portable-gamecube
91,11 September 2020,Mario Kart Live: Home Circuit costs £100	,https://www.eurogamer.net/articles/2020-09-04-mario-kart-live-home-circuit-costs-gbp100
53,5 September 2020,Here's which Mario Galaxy motion control features are available in Switch's various forms	,https://www.eurogamer.net/articles/2020-09-04-heres-which-mario-galaxy-motion-control-features-are-available-in-switchs-various-forms
31,5 September 2020,"3D Realms announces Graven, the spiritual successor to Hexen 2	",https://www.eurogamer.net/articles/2020-09-05-3d-realms-announces-graven-the-spiritual-successor-to-hexen-2
84,8 September 2020,Surprise! Nintendo just announced a The Legend of Zelda: Breath of the Wild prequel for Switch	,https://www.eurogamer.net/articles/2020-09-08-surprise-nintendo-just-announced-a-the-legend-of-zelda-breath-of-the-wild-prequel-for-switch
32,9 September 2020,Someone should make a game about: Hawkeye (2012)	,https://www.eurogamer.net/articles/2020-09-09-someone-should-make-a-game-about-hawkeye-2012
96,9 September 2020,"As Switch hardware upgrade rumours swirl, Nintendo reportedly asks developers to get games ""4K-ready""	",https://www.eurogamer.net/articles/2020-09-09-as-upgraded-switch-rumours-swirl-nintendo-reportedly-asks-developers-to-get-games-4k-ready
7,10 September 2020,Alternate controllers in a world we can't touch	,https://www.eurogamer.net/articles/2020-09-10-alternate-controllers-in-a-world-we-cant-touch
53,9 September 2020,Now Apple is suing Epic Games for breach of contract	,https://www.eurogamer.net/articles/2020-09-09-now-apple-is-suing-epic-games-for-breach-of-contract
12,10 September 2020,Paradise Killer review - dreamy open-world investigation meets cosmic horror	,https://www.eurogamer.net/articles/2020-09-09-paradise-killer-review
20,10 September 2020,There's an official Fortnite Nintendo Switch console	,https://www.eurogamer.net/articles/2020-09-10-theres-an-official-fortnite-nintendo-switch-console
22,8 September 2020,Here's where Super Mario 3D All-Stars is available to pre-order	,https://www.eurogamer.net/articles/super-mario-3d-all-stars-pre-order
13,10 September 2020,No More Heroes 3 delayed until 2021	,https://www.eurogamer.net/articles/2020-09-10-no-more-heroes-2-delayed-until-2021
1,10 September 2020,Fortnite adds enormous Stark Industries area as Marvel season ramps up	,https://www.eurogamer.net/articles/2020-09-10-fortnite-adds-enormous-stark-industries-area-as-marvel-season-ramps-up
54,15 September 2020,Hotshot Racing review - knockabout arcade racing fun	,https://www.eurogamer.net/articles/2020-09-08-hotshot-racing-review-knockabout-arcade-racing-fun
18,10 September 2020,Chronos: Before the Ashes is the prequel to Remnant: From the Ashes	,https://www.eurogamer.net/articles/2020-09-10-chronos-before-the-ashes-is-the-prequel-to-remnant-from-the-ashes
0,10 September 2020,Fortnite - Panther's Prowl location: Where to find the Black Panther statue	,https://www.eurogamer.net/articles/fortnite-panthers-prowl-location-7013
3,11 September 2020,Desert island sandbox The Survivalists releases next month	,https://www.eurogamer.net/articles/2020-09-10-desert-island-sandbox-the-survivalists-releases-next-month
0,16 September 2020,Here's where Hyrule Warriors: Age of Calamity is available to pre-order	,https://www.eurogamer.net/articles/hyrule-warriors-age-of-calamity-pre-order
0,10 September 2020,Fortnite - Finding Wolverine's Trophy in Dirty Docks explained	,https://www.eurogamer.net/articles/fortnite-finding-wolverines-trophy-in-dirty-docks-7013
18,10 September 2020,"Lionel Messi is still the best footballer in the world, according to FIFA 21	",https://www.eurogamer.net/articles/2020-09-10-lionel-messi-is-still-the-best-footballer-in-the-world-according-to-fifa-21
1,10 September 2020,Ubisoft CEO addresses recent controversies ahead of tonight's livestream	,https://www.eurogamer.net/articles/2020-09-10-ubisoft-ceo-addresses-recent-controversies-ahead-of-tonights-livestream
100,15 September 2020,Ubisoft leaks Prince of Persia: The Sands of Time Remake on Uplay	,https://www.eurogamer.net/articles/2020-09-10-ubisoft-leaks-prince-of-persia-the-sands-of-time-remake-images
32,10 September 2020,Scott Pilgrim vs The World: The Game - Complete Edition announced	,https://www.eurogamer.net/articles/2020-09-10-scott-pilgrim-vs-the-world-the-game-complete-edition-announced
7,11 September 2020,FIFA 21 ditches the long-running EA Sports Football Catalogue	,https://www.eurogamer.net/articles/2020-09-11-fifa-21-ditches-the-long-running-ea-sports-football-catalogue
125,11 September 2020,How I inadvertently got Karen unbanned on Xbox	,https://www.eurogamer.net/articles/2020-09-11-how-i-inadvertently-got-karen-unbanned-on-xbox-this-week
0,11 September 2020,The best full fibre broadband deals September 2020	,https://www.eurogamer.net/articles/full-fibre-broadband-deals
109,12 September 2020,"UK retailer cancels all Super Mario 3D All-Stars pre-orders, blames Nintendo's ""woefully short"" allocation	",https://www.eurogamer.net/articles/2020-09-12-uk-retailer-cancels-all-super-mario-3d-all-stars-pre-orders-blames-nintendos-woefully-short-allocation
27,12 September 2020,Romelu Lukaku sure doesn't like his FIFA 21 rating	,https://www.eurogamer.net/articles/2020-09-12-romelu-lukaku-has-an-interesting-fifa-21-rating-conspiracy-theory
7,13 September 2020,Puyo Puyo Tetris 2 is out later this year with a new adventure mode	,https://www.eurogamer.net/articles/2020-09-13-puyo-puyo-tetris-2-is-out-later-this-year
17,13 September 2020,Stardew Valley creator opens up about the possibility of a sequel	,https://www.eurogamer.net/articles/2020-09-13-stardew-valley-creator-says-he-would-not-be-surprised-if-there-was-a-stardew-valley-2
16,1 October 2020,The best Nintendo Switch deals for September 2020	,https://www.eurogamer.net/articles/best-nintendo-switch-bundle-deals
4,14 September 2020,"Risk of Rain 2 dev details post-launch content plans, including substantial paid expansions	",https://www.eurogamer.net/articles/2020-09-14-risk-of-rain-2-dev-details-post-launch-content-plans-including-substantial-paid-expansions
6,15 September 2020,"Borderlands 3 for £10, Ghost of Tsushima for £40 and more top console game deals	",https://www.eurogamer.net/articles/2020-09-15-borderlands-3-for-gbp10-ghost-of-tsushima-for-gbp40-and-more-top-console-game-deals
20,12 September 2020,Death and chaos with Edith Finch and The Unfinished Swan	,https://www.eurogamer.net/articles/2020-09-12-death-and-chaos-with-edith-finch-and-the-unfinished-swan
18,16 September 2020,Someone should make a game about: Checking medical records in A&E	,https://www.eurogamer.net/articles/2020-09-16-someone-should-make-a-game-about-checking-medical-records-in-a-and-e
20,15 September 2020,Psyonix dates Rocket League's free-to-play launch for next week	,https://www.eurogamer.net/articles/2020-09-15-psyonix-dates-rocket-leagues-free-to-play-launch-for-next-week
29,10 September 2020,Someone should make a game about: the Chinese underworld	,https://www.eurogamer.net/articles/2020-07-29-someone-should-make-a-game-about-the-chinese-underworld
3,29 July 2020,"Take-Two's Private Division publishing new games from Ori, Armello, and OlliOlli devs	",https://www.eurogamer.net/articles/2020-07-29-take-twos-private-division-publishing-new-games-from-ori-armello-and-olliolli-devs
0,30 July 2020,Fortnite Balls of Yarn at Catty Corner locations explained	,https://www.eurogamer.net/articles/fortnite-balls-of-yarn-catty-corner-locations-7013
0,30 July 2020,Fortnite Floating Rings at Weeping Woods explained	,https://www.eurogamer.net/articles/fortnite-floating-rings-at-weeping-woods-7013
0,30 July 2020,"Animal Crossing cloud saves: Island backup, auto saving and save transfers in New Horizons explained	",https://www.eurogamer.net/articles/animal-crossing-cloud-saving-island-recovery-transfer-new-horizons-7018
30,1 August 2020,Two of the world's great toymakers meet in the middle with Lego Super Mario	,https://www.eurogamer.net/articles/2020-08-01-two-of-the-worlds-great-toymakers-meet-in-the-middle-with-lego-super-mario
1,1 August 2020,Atlantis is finally in Fortnite - and it's called Coral Castle	,https://www.eurogamer.net/articles/2020-08-01-atlantis-is-finally-in-fortnite-and-its-called-coral-castle
4,1 August 2020,"Warframe unveils Infested open-world expansion, ability transfer feature	",https://www.eurogamer.net/articles/2020-08-01-warframe-unveils-infested-open-world-area-warframe-ability-transfers
4,30 July 2020,"Spiritfarer shows off new trailer, announces Epic Games Store and Stadia release	",https://www.eurogamer.net/articles/2020-07-30-spiritfarer-releases-new-trailer-announces-epic-games-store-and-stadia-release
25,3 August 2020,Someone's taken apart Lego Mario and the results are terrifying	,https://www.eurogamer.net/articles/2020-08-03-someones-taken-apart-lego-mario-and-the-results-are-terrifying
5,1 August 2020,"Warframe dev on working from home, Necramechs and the wild new Helminth system	",https://www.eurogamer.net/articles/2020-08-01-warframe-tennocon-interview
0,31 August 2020,"New Bugs, Fish and Sea Creatures in August: Everything arriving and leaving this month in Animal Crossing: New Horizons	",https://www.eurogamer.net/articles/new-bugs-fish-sea-creatures-august-arriving-leaving-animal-crossing-new-horizons-7018
49,3 August 2020,Boy in the Striped Pyjamas writer accidentally includes Zelda recipe in new novel	,https://www.eurogamer.net/articles/2020-08-03-boy-in-the-striped-pjyamas-writer-accidentally-includes-zelda-recipe-in-new-novel
46,5 August 2020,EA tackles FIFA 21 toxicity by pulling one of the most annoying celebrations in the game	,https://www.eurogamer.net/articles/2020-08-04-ea-tackles-fifa-21-toxicity-by-pulling-one-of-the-most-annoying-celebrations-in-the-game
15,4 August 2020,FIFA 21 plays a better game of football that will keep fans on-side for now	,https://www.eurogamer.net/articles/2020-08-04-fifa-21-plays-a-better-game-of-football-but-not-much-else
0,30 July 2020,Animal Crossing Dream Suite: How to create a Dream Address and visit islands using Dream Suite in New Horizons explained	,https://www.eurogamer.net/articles/animal-crossing-dream-suite-dream-address-visit-islands-new-horizons-7018
71,5 August 2020,Someone should make a game about: Muscle Men	,https://www.eurogamer.net/articles/2020-07-15-someone-should-make-a-game-about-muscle-men
13,4 August 2020,FIFA 21's search for the most authentic football experience won't extend to empty stadiums	,https://www.eurogamer.net/articles/2020-08-04-fifa-21s-search-for-the-most-authentic-football-experience-wont-extend-to-empty-stadiums
0,4 August 2020,Fortnite's delayed cars update finally fuels up tomorrow	,https://www.eurogamer.net/articles/2020-08-04-fortnites-delayed-cars-update-finally-fuels-up-tomorrow
12,4 August 2020,Crossy Road developer unveils top-down space Western shooter TombStar	,https://www.eurogamer.net/articles/2020-08-04-crossy-road-developer-unveils-top-down-space-western-shooter-tombstar
6,5 August 2020,"Fortnite adds vehicles, refuelling and radio stations	",https://www.eurogamer.net/articles/2020-08-05-fortnite-adds-vehicles-refueling-and-radio-stations
6,5 August 2020,You can already save 10% off the Lego Super Mario sets	,https://www.eurogamer.net/articles/2020-08-05-lego-super-mario-sets-deal
3,19 August 2020,The Nintendo Switch has popped up back in stock	,https://www.eurogamer.net/articles/2020-06-15-nintendo-switch-in-stock
0,5 August 2020,Fortnite Coral Buddies quest location explained	,https://www.eurogamer.net/articles/fortnite-coral-buddies-quest-location-7013
0,5 August 2020,Fortnite car locations: Where to find vehicles and car types in Fortnite explained	,https://www.eurogamer.net/articles/fortnite-car-locations-where-find-vehicles-7013
68,6 August 2020,The latest Animal Crossing: New Horizons sales are just astonishing	,https://www.eurogamer.net/articles/2020-08-06-the-latest-animal-crossing-new-horizons-sales-are-just-astonishing
0,6 August 2020,Fortnite Drive a car from Retail Row to Pleasant Park in under four minutes explained	,https://www.eurogamer.net/articles/fortnite-drive-a-retail-row-pleasant-park-under-four-minutes-7013
0,7 September 2020,Amazon Prime Day Nintendo Switch deals 2020: What to expect	,https://www.eurogamer.net/articles/best-amazon-prime-day-nintendo-switch-deals-6036
3,6 August 2020,Tetris 99 gives second chance to unlock three limited-time Nintendo themes from next week	,https://www.eurogamer.net/articles/2020-08-06-tetris-99-giving-second-chance-to-unlock-three-limited-time-nintendo-themes-next-week
26,6 August 2020,Braid is getting an Anniversary Edition with redrawn art and a developer commentary	,https://www.eurogamer.net/articles/2020-08-06-braid-is-getting-an-anniversary-edition-with-redrawn-art-and-a-dev-commentary
0,7 August 2020,Fortnite Ancient Astronaut secret challenges: Ancient ship part locations and how to launch the Ancient Ship explained	,https://www.eurogamer.net/articles/fortnite-ancient-astronaut-secret-challenges-ancient-ship-part-locations-how-to-launch-7013
87,5 August 2020,Pikmin 3 Deluxe for Nintendo Switch includes extra Olimar missions	,https://www.eurogamer.net/articles/2020-08-05-pikmin-3-deluxe-for-nintendo-switch-includes-extra-olimar-missions
8,30 July 2020,Here's a mega bundle of Switch accessories for under £20	,https://www.eurogamer.net/articles/2020-07-30-nintendo-switch-accessories-mega-bundle
45,9 August 2020,The joy of melee	,https://www.eurogamer.net/articles/2020-08-09-the-joy-of-melee
0,5 August 2020,Fortnite gas station locations: How to refuel a car in Fortnite explained	,https://www.eurogamer.net/articles/fortnite-gas-station-locations-how-refuel-7013
32,7 August 2020,"Focus Interactive responds to ""serious allegations"" of crunch, harassment, abuse at Aeon Must Die studio	",https://www.eurogamer.net/articles/2020-08-07-focus-interactive-responds-to-serious-allegations-of-crunch-harassment-abuse-at-aeon-must-die-studio
27,8 August 2020,One night in Akane has lasted me 15 hours	,https://www.eurogamer.net/articles/2020-08-08-one-night-in-akane-has-lasted-me-15-hours
0,9 August 2020,"Animal Crossing Fireworks Show: Raffle prizes, how long it lasts and custom fireworks in New Horizons explained	",https://www.eurogamer.net/articles/animal-crossing-fireworks-show-custom-fireworks-long-lasts-raffle-prizes-new-horizons-7018
15,10 August 2020,EA has finally removed fitness items from Ultimate Team for FIFA 21	,https://www.eurogamer.net/articles/2020-08-10-ea-has-finally-removed-fitness-items-from-fifa-ultimate-team-for-fifa-21
